Date,ZAC1
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-05,
2020-12-06,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,
2020-12-13,
2020-12-14,
2020-12-15,
2020-12-16,
2020-12-17,
2020-12-18,
2020-12-19,
2020-12-20,
2020-12-21,
2020-12-22,
2020-12-23,
2020-12-24,
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,
2020-12-29,
2020-12-30,
2020-12-31,
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-09,
2021-01-10,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-23,
2021-01-24,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-01-30,
2021-01-31,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-06,
2021-02-07,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-20,
2021-02-21,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-02-27,
2021-02-28,
2021-03-01,10.7
2021-03-02,0
2021-03-03,11.5
2021-03-04,12
2021-03-05,12.3
2021-03-06,12.6
2021-03-07,11.3
2021-03-08,9.9
2021-03-09,10.7
2021-03-10,11.6
2021-03-11,11.5
2021-03-12,12
2021-03-13,11.9
2021-03-14,9.9
2021-03-15,8.8
2021-03-16,11.1
2021-03-17,11.5
2021-03-18,11.8
2021-03-19,12.5
2021-03-20,11.9
2021-03-21,11.2
2021-03-22,8.9
2021-03-23,11.3
2021-03-24,10.5
2021-03-25,10.7
2021-03-26,11.8
2021-03-27,11.8
2021-03-28,11.2
2021-03-29,10.8
2021-03-30,11.7
2021-03-31,11
2021-04-01,11
2021-04-02,9.6
2021-04-03,8.7
2021-04-04,10.8
2021-04-05,12.1
2021-04-06,12.4
2021-04-07,12
2021-04-08,11.3
2021-04-09,10.9
2021-04-10,12.2
2021-04-11,11.9
2021-04-12,10.7
2021-04-13,11.9
2021-04-14,10.5
2021-04-15,
2021-04-16,
2021-04-17,
2021-04-18,
2021-04-19,
2021-04-20,
2021-04-21,
2021-04-22,
2021-04-23,
2021-04-24,
2021-04-25,
2021-04-26,
2021-04-27,
2021-04-28,
2021-04-29,
2021-04-30,
2021-05-01,9.3
2021-05-02,10.7
2021-05-03,12
2021-05-04,12.3
2021-05-05,11.8
2021-05-06,11.2
2021-05-07,10.2
2021-05-08,10.2
2021-05-09,10.1
2021-05-10,10.5
2021-05-11,12.9
2021-05-12,11.7
2021-05-13,11.8
2021-05-14,10.2
2021-05-15,9.6
2021-05-16,
2021-05-17,
2021-05-18,
2021-05-19,
2021-05-20,
2021-05-21,
2021-05-22,
2021-05-23,
2021-05-24,
2021-05-25,
2021-05-26,
2021-05-27,
2021-05-28,
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,10.2
2021-06-02,10.2
2021-06-03,10.8
2021-06-04,10.6
2021-06-05,9.9
2021-06-06,9.6
2021-06-07,10.6
2021-06-08,10
2021-06-09,10.4
2021-06-10,11.2
2021-06-11,10
2021-06-12,10
2021-06-13,9.8
2021-06-14,10.4
2021-06-15,10.3
2021-06-16,10.6
2021-06-17,10.3
2021-06-18,12
2021-06-19,11.5
2021-06-20,12.4
2021-06-21,12.1
2021-06-22,11.9
2021-06-23,12.5
2021-06-24,11.7
2021-06-25,12.5
2021-06-26,12.1
2021-06-27,11.8
2021-06-28,10.7
2021-06-29,11.4
2021-06-30,11.4
2021-07-01,11
2021-07-02,11.3
2021-07-03,12.2
2021-07-04,11.5
2021-07-05,11.2
2021-07-06,11.9
2021-07-07,11.8
2021-07-08,11.7
2021-07-09,12.1
2021-07-10,12.1
2021-07-11,11.7
2021-07-12,11.8
2021-07-13,13.9
2021-07-14,13
2021-07-15,13.5
2021-07-16,13.3
2021-07-17,13.7
2021-07-18,12.2
2021-07-19,12.3
2021-07-20,12.6
2021-07-21,13
2021-07-22,13.6
2021-07-23,14.4
2021-07-24,12.7
2021-07-25,13.2
2021-07-26,13.5
2021-07-27,13.6
2021-07-28,13.9
2021-07-29,14.2
2021-07-30,14.2
2021-07-31,12.8
2021-08-01,12.9
2021-08-02,12.2
2021-08-03,11.4
2021-08-04,13.1
2021-08-05,13.4
2021-08-06,14
2021-08-07,13.8
2021-08-08,13.7
2021-08-09,13
2021-08-10,11.1
2021-08-11,10.3
2021-08-12,10.8
2021-08-13,10.6
2021-08-14,9.8
